
COMMUNITY NUMBER,COMMUNITY NAME,CRS ENTRY DATE,CURRENT EFFECTIVE DATE,CURRENT CLASS,% DISCOUNT FOR SFHA,% DISCOUNT FOR NON-SFHA,STATUS
340312,"Aberdeen, Township of",05/1/10,10/1/15,8,10,5,C
340001,"Absecon, City of",10/1/14,10/1/14,8,10,5,C
345278,"Atlantic City, City of",10/1/92,10/1/00,9,5,5,C
345279,"Avalon, Borough of",10/1/96,10/1/13,5,25,10,C
340287,"Avon-by-the-Sea, Borough of",10/1/16,10/1/16,6,20,10,C
340396,"Barnegat, Township of",05/1/14,05/1/14,7,15,5,C
345280,"Barnegat Light, Borough of",10/1/92,10/1/01,8,10,5,C
345281,"Bay Head, Borough of",10/1/93,10/1/13,6,20,10,C
345282,"Beach Haven, Borough of",10/1/91,10/1/13,5,25,10,C
340427,"Bedminster, Township of",10/1/96,05/1/07,6,20,10,C
345283,"Belmar, Borough of",05/1/15,05/1/15,6,20,10,C
340369,"Berkeley, Township of",10/1/92,10/1/13,6,20,10,C
340459,"Berkeley Heights, Township of",10/1/94,05/1/99,10,0,0 R
340428,"Bernards, Township of",10/1/10,10/1/10,8,10,5,C
340178,"Bloomfield, Township of",10/1/92,10/1/97,10,0,0 R
345284,"Bloomingdale, Borough of",10/1/16,10/1/16,8,10,5,C
340289,"Bradley Beach, Borough of",10/1/95,10/1/00,7,15,5,C
345286,"Brigantine, City of",10/1/92,10/1/15,5,25,10,C
345287,"Burlington, City of",05/1/98,10/1/03,8,10,5,C
345288,"Cape May City, City of",10/1/94,10/1/13,6,20,10,C
345289,"Cape May Point, Borough of",10/1/93,10/1/13,6,20,10,C
345291,"Cranford Township", 10/1/16 10/1/16 7 15 5 C
345292,"Denville, Township of",10/1/11,05/1/16,6,20,10,C
340031,"Englewood, City of",10/1/91,10/1/01,10,0,0 R
345295,"Fairfield, Township of",05/1/13,05/1/13,6,20,10,C
340434,"Franklin, Township of",05/1/10,05/1/15,6,20,10,C
340037,"Garfield, City of",05/1/12,10/1/14,10,0,0 R
340204,"Greenwich, Township of",05/1/07,05/1/07,9,5,5,C
340246,"Hamilton, Township of",10/1/92,10/1/02,8,10,5,C
345296,"Harvey Cedars, Borough of",10/1/91,10/1/99,8,10,5,C
340298,"Hazlet, Township of",05/1/11,10/1/13,6,20,10,C
340303,"Keansburg, Borough of",05/1/15,05/1/15,7,15,5,C
340376,"Lacey, Township of",10/1/92,10/1/93,10,0,0 R
340237,"Lambertville, City of",05/1/12,05/1/12,8,10,5,C
340379,"Lavallette, Borough of",05/1/04,10/1/13,6,20,10,C
345300,"Lincoln Park, Borough of",05/1/16,05/1/16,5,25,10,C
340467,"Linden, City of",10/1/91,10/1/02,8,10,5,C
340011,"Linwood, City of",10/1/14,10/1/14,7,15,5,C
340401,"Little Falls, Township of",05/1/10,05/1/16,6,20,10,C
340046,"Little Ferry, Borough of",10/1/15,10/1/15,7,15,5,C
340047,"Lodi, Borough of",10/1/92,10/1/93,10,0,0 R
345301,"Long Beach, Township of",10/1/92,10/1/13,5,25,10,C
345302,"Longport, Borough of",10/1/95,10/1/13,5,25,10,C
345303,"Manasquan, Borough of",10/1/92,10/1/09,7,15,5,C
340383,"Mantoloking, Borough of",10/1/92,10/1/13,5,25,10,C
340437,"Manville, Borough of",10/1/14,10/1/14,7,15,5,C
345304,"Margate City, City of",10/1/92,10/1/13,5,25,10,C
340313,"Middletown, Township of",05/1/12,10/1/13,6,20,10,C
340188,"Montclair, Township of",10/1/94,10/1/95,10,0,0 R
340517,"Mullica, Township of",10/1/94,05/1/08,10,0,0 R
340209,"National Park, Borough of",10/1/12,10/1/12,9,5,5,C
340317,"Neptune, Township of",05/1/15,05/1/15,6,20,10,C
340570,"New Jersey Meadowlands Commission", 10/1/92 05/1/09 7 15 5 C
345307,"North Plainfield, Borough of",10/1/92,10/1/09,8,10,5,C
345308,"North Wildwood, City of",10/1/00,10/1/00,7,15,5,C
345309,"Oakland, Borough of",10/1/95,10/1/96,10,0,0 R
340518,"Ocean, Township of",05/1/14,05/1/14,6,20,10,C
345310,"Ocean City, City of",10/1/92,05/1/16,5,25,10,C
340320,"Oceanport, Borough of",05/1/10,10/1/15,7,15,5,C
340110,"Palmyra, Borough of",10/1/09,05/1/15,7,15,5,C
